Date,symbol,Open,High,Low,Close,Volume,Stock,HA_Close,HA_Open,HA_High,HA_Low,EMA_HIGH,EMA_LOW,signal,position
2026-04-08 13:20:00,COINBASE:BTCUSD,71594.0,71623.17,71580.93,71606.01,6.56703979,BTCUSD,71601.0275,71600.005,71623.17,71580.93,71623.17,71580.93,,
2026-04-08 13:25:00,COINBASE:BTCUSD,71606.02,71644.09,71594.01,71641.01,12.93519531,BTCUSD,71621.2825,71600.51625,71644.09,71594.01,71625.16238095239,71582.17571428571,,
2026-04-08 13:30:00,COINBASE:BTCUSD,71641.02,71763.63,71636.0,71763.63,26.18093393,BTCUSD,71701.07,71610.89937500001,71763.63,71610.89937500001,71638.34977324263,71587.30183673468,BUY,BUY
2026-04-08 13:35:00,COINBASE:BTCUSD,71763.63,71823.55,71741.14,71790.01,17.75217828,BTCUSD,71779.5825,71655.98468750001,71823.55,71655.98468750001,71655.98789007666,71601.953090379,,BUY
2026-04-08 13:40:00,COINBASE:BTCUSD,71790.0,71790.0,71670.55,71709.36,34.29900365,BTCUSD,71739.9775,71717.78359375,71790.0,71670.55,71668.7509481646,71608.48612939053,,BUY
2026-04-08 13:45:00,COINBASE:BTCUSD,71709.88,71811.45,71688.03,71805.26,38.37881414,BTCUSD,71753.655,71728.880546875,71811.45,71688.03,71682.34133405368,71616.06173611524,,BUY
2026-04-08 13:50:00,COINBASE:BTCUSD,71805.26,71812.19,71728.25,71750.27,11.98870803,BTCUSD,71773.99250000001,71741.2677734375,71812.19,71728.25,71694.70787366762,71626.7463326757,,BUY
2026-04-08 13:55:00,COINBASE:BTCUSD,71753.0,71767.86,71679.69,71751.56,13.76287734,BTCUSD,71738.0275,71757.63013671876,71767.86,71679.69,71701.67474284214,71631.78858670658,,BUY
2026-04-08 14:00:00,COINBASE:BTCUSD,71751.56,71831.44,71724.43,71810.74,42.3046949,BTCUSD,71779.5425,71747.82881835938,71831.44,71724.43,71714.03333876193,71640.6115784488,,BUY
2026-04-08 14:05:00,COINBASE:BTCUSD,71810.74,71832.7,71655.31,71740.08,52.83545706,BTCUSD,71759.7075,71763.6856591797,71832.7,71655.31,71725.33492554651,71642.01142812034,,BUY
2026-04-08 14:10:00,COINBASE:BTCUSD,71740.08,71759.93,71641.56,71735.01,22.54958459,BTCUSD,71719.145,71761.69657958986,71761.69657958986,71641.56,71728.62969454208,71641.96843496602,EXIT_BUY,
2026-04-08 14:15:00,COINBASE:BTCUSD,71735.02,71779.0,71696.99,71738.98,26.70654736,BTCUSD,71737.4975,71740.42078979494,71779.0,71696.99,71733.42686649045,71647.20858401689,BUY,BUY
2026-04-08 14:20:00,COINBASE:BTCUSD,71738.97,71775.74,71712.06,71734.71,11.42438074,BTCUSD,71740.37000000001,71738.95914489747,71775.74,71712.06,71737.45668872946,71653.3849093486,,BUY
2026-04-08 14:25:00,COINBASE:BTCUSD,71734.71,71810.13,71728.55,71800.02,16.47641274,BTCUSD,71768.35250000001,71739.66457244873,71810.13,71728.55,71744.37795646951,71660.54348941064,,BUY
2026-04-08 14:30:00,COINBASE:BTCUSD,71800.02,71876.94,71800.02,71876.94,18.7588649,BTCUSD,71838.48000000001,71754.00853622437,71876.94,71754.00853622437,71757.00291299623,71673.82696660963,,BUY
2026-04-08 14:35:00,COINBASE:BTCUSD,71876.95,71962.24,71828.7,71844.34,34.13907003,BTCUSD,71878.0575,71796.24426811219,71962.24,71796.24426811219,71776.5493022347,71688.57677931347,,BUY
2026-04-08 14:40:00,COINBASE:BTCUSD,71844.35,71890.48,71818.19,71825.4,13.74375201,BTCUSD,71844.60500000001,71837.15088405609,71890.48,71818.19,71787.39984487901,71700.92089556933,,BUY
2026-04-08 14:45:00,COINBASE:BTCUSD,71822.77,71881.38,71760.67,71868.57,18.20048802,BTCUSD,71833.3475,71840.87794202805,71881.38,71760.67,71796.35033584292,71706.6112864675,,BUY
2026-04-08 14:50:00,COINBASE:BTCUSD,71868.56,71868.56,71804.17,71806.0,12.50809286,BTCUSD,71836.8225,71837.11272101403,71868.56,71804.17,71803.22744671501,71715.9025925182,,BUY
2026-04-08 14:55:00,COINBASE:BTCUSD,71804.19,71807.09,71681.12,71681.79,7.28305137,BTCUSD,71743.5475,71836.96761050701,71836.96761050701,71681.12,71803.59530893262,71712.58996465933,EXIT_BUY,
2026-04-08 15:00:00,COINBASE:BTCUSD,71681.8,71746.75,71681.79,71714.7,19.13770873,BTCUSD,71706.26,71790.25755525351,71790.25755525351,71681.79,71798.18146998665,71709.65663469178,SELL,SELL
2026-04-08 15:05:00,COINBASE:BTCUSD,71714.7,71725.39,71674.61,71687.93,9.12993233,BTCUSD,71700.6575,71748.25877762676,71748.25877762676,71674.61,71791.24894903554,71706.31885995922,,SELL
2026-04-08 15:10:00,COINBASE:BTCUSD,71687.94,71692.95,71588.01,71591.89,10.46868389,BTCUSD,71640.19750000001,71724.45813881338,71724.45813881338,71588.01,71781.88714436548,71695.05134948692,,SELL
