datetime,open,high,low,close,volume,ema3,ema9,ema21,atr14,co_ema3_ema9,co_ema3_ema21,co_ema9_ema21,count_co_ema3_ema9,count_co_ema3_ema21,count_co_ema9_ema21
2026-04-11 00:40:00,259.68,259.79,259.68,259.74,4274.0,259.74,259.74,259.74,,EMA3xEMA9 Bearish,EMA3xEMA21 Bearish,EMA9xEMA21 Bearish,1,1,1
2026-04-11 00:41:00,259.75,259.75,259.71,259.71,2591.0,259.725,259.73400000000004,259.73727272727274,,,,,1,1,1
2026-04-11 00:42:00,259.71,259.78,259.705,259.74,3587.0,259.7325,259.7352000000001,259.737520661157,,,,,1,1,1
2026-04-11 00:43:00,259.74,259.8,259.69,259.79,2767.0,259.76125,259.7461600000001,259.7422915101427,,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,2,2,2
2026-04-11 00:44:00,259.785,260.02,259.78,259.87,10669.0,259.815625,259.7709280000001,259.753901372857,,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,3,3,3
2026-04-11 00:45:00,259.89,259.89,259.75,259.8,2485.0,259.8078125,259.7767424000001,259.7580921571427,,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,4,4,4
2026-04-11 00:46:00,259.79,259.79,259.71,259.75,4850.0,259.77890625,259.7713939200001,259.75735650649335,,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,5,5,5
2026-04-11 00:47:00,259.76,259.77,259.65,259.67,2303.0,259.72445312499997,259.7511151360001,259.749415005903,,EMA3xEMA9 Bearish,EMA3xEMA21 Bearish,EMA9xEMA21 Bullish,6,6,6
2026-04-11 00:48:00,259.7,259.75,259.65,259.65,3119.0,259.6872265625,259.7308921088001,259.74037727809366,,,,EMA9xEMA21 Bearish,6,6,7
2026-04-11 00:49:00,259.65,259.68,259.58,259.61,3412.0,259.64861328125,259.7067136870401,259.72852479826696,,,,,6,6,7
2026-04-11 00:50:00,259.63,259.67,259.55,259.55,3033.0,259.599306640625,259.6753709496321,259.7122952711518,,,,,6,6,7
2026-04-11 00:51:00,259.54,259.585,259.47,259.575,4312.0,259.5871533203125,259.6552967597057,259.69981388286527,,,,,6,6,7
2026-04-11 00:52:00,259.57,259.57,259.49,259.53,8453.0,259.55857666015623,259.6302374077646,259.68437625715023,,,,,6,6,7
2026-04-11 00:53:00,259.52,259.56,259.45,259.54,9930.0,259.5492883300781,259.61218992621167,259.67125114286387,0.11107142857143312,,,,6,6,7
2026-04-11 00:54:00,259.53,259.54,259.46,259.52,6352.0,259.534644165039,259.59375194096936,259.65750103896715,0.10892857142857792,,,,6,6,7
2026-04-11 00:55:00,259.49,259.5,259.41,259.48,3351.0,259.5073220825195,259.5710015527755,259.6413645808792,0.11392857142857338,,,,6,6,7
2026-04-11 00:56:00,259.47,259.47,259.36,259.41,5967.0,259.4586610412598,259.5388012422204,259.6203314371629,0.11714285714286023,,,,6,6,7
2026-04-11 00:57:00,259.42,259.51,259.39,259.51,8375.0,259.4843305206299,259.53304099377635,259.6103013065117,0.1178571428571453,,,,6,6,7
2026-04-11 00:58:00,259.51,259.6,259.51,259.57,6243.0,259.527165260315,259.5404327950211,259.60663755137426,0.1071428571428612,,,,6,6,7
2026-04-11 00:59:00,259.56,259.73,259.56,259.72,5401.0,259.6235826301575,259.5763462360169,259.6169432285221,0.10928571428572045,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,,7,7,7
2026-04-11 01:00:00,259.725,259.76,259.55,259.55,11990.0,259.58679131507876,259.57107698881356,259.61085748047464,0.1178571428571453,EMA3xEMA9 Bullish,EMA3xEMA21 Bearish,,8,8,7
2026-04-11 01:01:00,259.56,259.59,259.49,259.49,2275.0,259.53839565753935,259.5548615910509,259.59987043679513,0.1164285714285711,EMA3xEMA9 Bearish,,,9,8,7
2026-04-11 01:02:00,259.48,259.575,259.48,259.54,4497.0,259.5391978287697,259.55188927284075,259.59442766981374,0.11607142857142451,,,,9,8,7
2026-04-11 01:03:00,259.54,259.6,259.505,259.54,4303.0,259.5395989143849,259.54951141827263,259.5894796998307,0.11571428571428198,,,,9,8,7
2026-04-11 01:04:00,259.53,259.55,259.48,259.5,6777.0,259.51979945719245,259.5396091346181,259.58134518166423,0.11214285714285259,,,,9,8,7
2026-04-11 01:05:00,259.49,259.49,259.33,259.39,7330.0,259.4548997285962,259.5096873076945,259.56395016514927,0.11607142857142858,,,,9,8,7
2026-04-11 01:06:00,259.4,259.54,259.4,259.53,8017.0,259.4924498642981,259.5137498461556,259.5608637864993,0.12071428571428962,,,,9,8,7
2026-04-11 01:07:00,259.52,259.54,259.44,259.45,6485.0,259.4712249321491,259.5009998769245,259.5507852604539,0.12000000000000455,,,,9,8,7
2026-04-11 01:08:00,259.44,259.48,259.29,259.475,8212.0,259.47311246607455,259.4957999015396,259.5438956913217,0.1278571428571443,,,,9,8,7
2026-04-11 01:09:00,259.48,259.54,259.45,259.5,6519.0,259.4865562330373,259.4966399212317,259.53990517392884,0.12642857142857825,,,,9,8,7
2026-04-11 01:10:00,259.51,259.53,259.35,259.37,6603.0,259.42827811651864,259.4713119369854,259.5244592490262,0.13071428571428864,,,,9,8,7
2026-04-11 01:11:00,259.37,259.55,259.34,259.53,4634.0,259.4791390582593,259.4830495495883,259.5249629536602,0.13714285714286234,,,,9,8,7
2026-04-11 01:12:00,259.54,259.64,259.54,259.59,9120.0,259.5345695291296,259.50443963967064,259.53087541241837,0.13857142857143248,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,,10,9,7
2026-04-11 01:13:00,259.59,259.59,259.5,259.5,7132.0,259.5172847645648,259.5035517117365,259.52806855674396,0.13285714285714384,EMA3xEMA9 Bullish,EMA3xEMA21 Bearish,,11,10,7
2026-04-11 01:14:00,259.51,259.68,259.51,259.65,5871.0,259.5836423822824,259.53284136938925,259.5391532334036,0.13071428571428864,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,,12,11,7
2026-04-11 01:15:00,259.63,259.8,259.62,259.8,9314.0,259.69182119114123,259.5862730955114,259.5628665758215,0.13642857142857728,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,13,12,8
2026-04-11 01:16:00,259.81,259.82,259.68,259.7,7260.0,259.6959105955706,259.6090184764091,259.5753332507468,0.13964285714286412,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,14,13,9
2026-04-11 01:17:00,259.69,259.76,259.68,259.71,4669.0,259.70295529778525,259.6292147811273,259.58757568249706,0.13857142857143248,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,15,14,10
2026-04-11 01:18:00,259.69,259.69,259.63,259.64,4015.0,259.6714776488926,259.63137182490186,259.5923415295428,0.13928571428571754,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,16,15,11
2026-04-11 01:19:00,259.65,259.705,259.58,259.65,5572.0,259.6607388244463,259.6350974599215,259.5975832086753,0.13607142857143067,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,17,16,12
2026-04-11 01:20:00,259.6,260.03,259.53,259.96,33170.0,259.81036941222317,259.7000779679372,259.6305301897048,0.16107142857142825,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,18,17,13
2026-04-11 01:21:00,259.97,259.98,259.78,259.85,10982.0,259.8301847061116,259.7300623743498,259.65048199064074,0.168214285714287,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,19,18,14
2026-04-11 01:22:00,259.85,259.9,259.78,259.825,12177.0,259.8275923530558,259.74904989947987,259.6663472642188,0.1632142857142875,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,20,19,15
2026-04-11 01:23:00,259.83,259.89,259.8,259.88,10632.0,259.8537961765279,259.7752399195839,259.6857702401989,0.16321428571428345,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,21,20,16
2026-04-11 01:24:00,259.88,260.08,259.86,260.01,17032.0,259.93189808826395,259.82219193566715,259.7152456729081,0.16607142857142776,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,22,21,17
2026-04-11 01:25:00,260.02,260.28,260.02,260.25,19141.0,260.090949044132,259.9077535485337,259.76385970264374,0.17035714285713816,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,23,22,18
2026-04-11 01:26:00,260.26,260.28,260.11,260.23,21110.0,260.160474522066,259.972202838827,259.8062360933125,0.17464285714284852,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,24,23,19
2026-04-11 01:27:00,260.23,260.35,260.201,260.32,19392.0,260.24023726103303,260.0417622710616,259.85294190301136,0.1788571428571361,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,25,24,20
2026-04-11 01:28:00,260.33,260.5,260.305,260.47,36990.0,260.35511863051653,260.1274098168493,259.9090380936467,0.1799285714285637,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,26,25,21
2026-04-11 01:29:00,260.47,260.54,260.34,260.42,50203.0,260.3875593152583,260.1859278534795,259.9554891760424,0.1813571428571379,EMA3xEMA9 Bullish,EMA3xEMA21 Bullish,EMA9xEMA21 Bullish,27,26,22
